Project Title,Country of Origin,First Name,Last Name,Synopsis,Trailer URL
We Make Film,India,Shweta,Ghosh,"At a time of ever increasing media access, anyone who wants to make a film should be able to make one. But what happens when you’re assumed as incapable or ‘difficult’ to work with, or need adjustments to make the creative process accessible? Set across three cities in India, We Make Film explores the creative journeys of d/Deaf and disabled filmmakers Debopriya, Mijo and Anuja. Many barriers stand in their way. While some battles are won, sometimes a dream must be given up altogether due to inaccessible environments, exclusionary production practices or barriers to film education. While documenting their stories, Shweta too begins to reflect on her privileges, and revisits the lifelong creative collaborations she has had with her disabled father. At the intersection of the four filmmakers’ experiences lies We Make Film, a documentary that rethinks accessibility, ally-ship and collaboration in filmmaking today, and dreams of an inclusive creative future for all of us.",https://vimeo.com/639565622
Please,Turkey,Engin,Ökmen, The three friends have to pay for the environmental pollution. Like other marine animals.,https://vimeo.com/507093076
Signs of Silence,United States,Danielle,Mannion,Dulce worked at a supermarket during Covid. She noticed some of her deaf customers were struggling to understand people because of the masks. She decided to teach herself sign language to help them. She found her passion in this work and she made a film about it!,
Shattered,United States,SVA ,Computer Art,Shattered is a 3D animated film that follow Scot a 17 year old who dreams of being a photographer ,
Aydin,"Iran, Islamic Republic of",mirabbas,khosravinezhad,"Aydin is going to play outside of the home, but his mother prevents him from going out because of air pollution.",
White Mirror,United States,Taj,Kokayi,A young Black game designer comes face to face with covert racism after he’s transformed to look like a white man.,
Omm Sety ,Egypt,Basma,Magdy,"Omm Sety"" is a captivating short documentary that explores the life of Dorothy Louise Eady, who claimed to have memories of a past life as a priestess in ancient Egypt. Through Omm Sety's remarkable insights, the film delves into the mysteries of consciousness, memory, and the possibility of past lives. ",
Solace of the Sea,Sweden,Hugo,Carlsund,"The stories of a free diver, a surfer and an ice bather are woven together in this documentary about the calming powers of the ocean.  They have all experienced hardships and struggles in life but managed to find their way back to happiness and joy in the ocean.  How is our psyche and mood affected by the ocean and what it does the ocean mean to humans?",
Monochrome,Costa Rica,José,Rodríguez,"Monochrome, tells us the tragic story of Daphne through a sculpture and high-quality visual effects, Daphne, in her own words, tells us about her mental decay to the point of wanting to end her own life.",https://youtu.be/FXxuZuH-VmI
Breathe,Belarus,Lidia,Huletska,"That is a breathe That breath that each woman has to take when faces Life, all it troubles and happiness.  When  psychology, religion, friendship, relationships, love are not working, when there is nothing. There is only you... and your breath. and all you need to do is just keep breathing.  renounce the past, don't wait for the future, be in the present and continue to move. Breathe...  A woman runs through the forest and loses her feathers: events, people, attachments, moments of grief and joy, something that was very important to her all the time, but that no longer belongs to her. the heroine falls at the foot of a large oak, breathing heavily. She has already lost everything, and the dress, and feathers, and all things. She lies near a huge oak tree almost naked, her eyes slowly close, moss and grass cover her body. She lies motionless. The voices of birds begin to sound, and several thin pairs of female hands gently touch her body.  She finds herself beside the lake and goes into her greatest fear. and dives deep. The transitional stage is always a thread between life and death, letting go of the old and obsolete, having the strength to accept the new. Nature and women are the external force that helps in this transitional period. And she takes a new breath and receives her new gifts. ",
I want to shatter the greenhouse,Romania,Teona,Galgoțiu,"Sara is confronted by the first signs of a disease she inherited from her father, which, in its final stage, will turn their bodies into plants. Sara needs a major change. But before that, she has to try to get rid of the violent memories from her childhood, so she visits her bedridden father and tells him everything she couldn’t tell him until now.  ",
Paper Plane,Malaysia,Mugen,Narayanan ,A story about a father's sacrifices for his daughter.,
People-pleaser,China,Zhang,wenzheng,"Since childhood, Xi Xi has always been striving to be what his mother, relatives, teachers, friends and lovers want him to be.All the expectations have become his own mantra on himself, lingering in his mind and becoming the shackles of his behavior and emotions.Xi Xi is eager to be loved at the same time, but also extremely afraid of being hated, she constantly use words to restrain herself, constantly stifle their real needs and emotions, until the final completely lost......",
Clorinated Prison,Indonesia,RAHADIAN,NAVANKA,"This film tells us about what happened behind the dolphin show in Indonesia. This story is taken from the point of view of Femke Den Haas, co-founder of the Jakarta Animal Aid Network which focuses on wildlife rescue. She and her team at Dolphin Project & JAAN have a vision to fight for the rights of wild animals to live in the wild. They have made a lot of effort, starting from building a rehabilitation center, taking action on complaints that arise in the community, even in September they were able to release former circus dolphins into the wild for the first time in the world. With this kind of movement, the question arises, is it right to keep dolphins in a pool? Is education just sweet talk that yields sweet profits too? Questions like these raise a dilemma about which one is better for these dolphins. Femke's point of view is very important to answer this question.",
